=> CSV Dump from EGI accounting portal for the period 10/2014 to 10/2014 <=

Values show are TIER1  by TIER1 and VO (only information about <b>LHC VOs</b> is returned)
<!--- T:TIER1 TIER1---><!--- C: AND (VO NOT LIKE 'local-%' and Infrastructure!='local') AND VO IN (:vo0, :vo1, :vo2, :vo3)  --->
TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF,,32957192.0488,,,32957192.0488
CH-CERN,27075128.0000,8243112.0000,13690904.0000,8993320.0000,58002464
DE-KIT,34354316.0688,26114125.2050,25544151.1972,10109985.4499,96122577.9209
ES-PIC,,10062779.7590,6815275.2414,7514506.4124,24392561.4128
FR-CCIN2P3,15244806.5452,18316032.0908,8179604.7428,14480174.0055,56220617.3843
IT-INFN-CNAF,20208279.1887,16053825.9519,12782400.1097,13858707.7819,62903213.0322
KR-KISTI-GSDC,11590749.1753,,,,11590749.1753
NDGF,27781439.2964,18394644.3231,,,46176083.6195
NL-T1,13172930.6253,23034881.5584,,6037253.2152,42245065.3989
NRC-KI-T1,3512709.9867,2028502.5860,,8706456.4873,14247669.06
RU-JINR-T1,,,3173472.9180,,3173472.918
TW-ASGC,,3313948.6060,64097.0072,,3378045.6132
UK-T1-RAL,8821839.9436,33679870.2508,7831077.0068,6488556.4069,56821343.6081
US-FNAL-CMS,,,43369084.0000,,43369084
US-T1-BNL,,58463972.0000,0.0000,,58463972
Total,161762198.83,250662886.3798,121450066.2231,76188959.7591,610064111.192
