Time,ALICE::BITP::SE,ALICE::Bari::SE,ALICE::Birmingham::SE,ALICE::Bratislava::SE,ALICE::CCIN2P3::SE,ALICE::CCIN2P3::TAPE,ALICE::CERN::CASTOR2,ALICE::CERN::DPM,ALICE::CERN::EOS,ALICE::CERN::OCDB,ALICE::CERN::T0ALICE,ALICE::CNAF::SE,ALICE::CNAF::TAPE,ALICE::Catania::SE,ALICE::Clermont::SE,ALICE::CyberSar_Cagliari::SE,ALICE::Cyfronet::XRD,ALICE::FZK::SE,ALICE::FZK::TAPE,ALICE::GRIF_IPNO::SE,ALICE::GRIF_IRFU::DPM,ALICE::GSI::SE2,ALICE::Grenoble::SE,ALICE::Hiroshima::SE,ALICE::IHEP::SE,ALICE::IPNL::SE,ALICE::ISMA::SE,ALICE::ISS::FILE,ALICE::ITEP::SE,ALICE::JINR::EOS,ALICE::JINR::SE,ALICE::KFKI::SE,ALICE::KISTI_GSDC::SE2,ALICE::KISTI_GSDC::TAPE,ALICE::Kolkata::EOS,ALICE::Kolkata::SE,ALICE::Kosice::SE,ALICE::LBL::EOS,ALICE::Legnaro::SE,ALICE::MEPHI::EOS,ALICE::NDGF::DCACHE,ALICE::NDGF::DCACHE_TAPE,ALICE::NIHAM::FILE,ALICE::ORNL::EOS,ALICE::PNPI::SE,ALICE::Poznan::SE,ALICE::Prague::SE,ALICE::RAL::SE,ALICE::RAL::TAPE,ALICE::RRC-KI::SE,ALICE::RRC_KI_T1::DCACHE_TAPE,ALICE::RRC_KI_T1::EOS,ALICE::SARA::DCACHE,ALICE::SARA::DCACHE_TAPE,ALICE::SNIC::DCACHE,ALICE::SPbSU::EOS,ALICE::SPbSU::SE,ALICE::SUT::SE,ALICE::SaoPaulo::SE,ALICE::Strasbourg_IRES::SE,ALICE::Subatech::EOS,ALICE::Torino::SE,ALICE::Trieste::SE,ALICE::Troitsk::SE,ALICE::Trujillo::SE,ALICE::Tsukuba::SE,ALICE::UNAM_T1::EOS,ALICE::ZA_CHPC::EOS,ALICE::ZA_CHPC::SE
1401775653,15339.6631,75637.6328,88750.29690000002,171403.781,719369.4380000001,975082.5,9224009.0,,3822743.25,46499.7031,1661419.12,1313581.38,709464.4380000001,366665.09400000004,187785.54700000002,12158.8496,23608.9004,1448813.75,2996775.0,293977.84400000004,232634.719,242306.062,150882.391,127141.188,216829.438,45074.24220000001,16819.3047,200343.969,99910.1562,,263907.25,53590.331999999995,347130.84400000004,342288.65599999996,,48982.269499999995,151102.312,,371012.938,,505028.40599999996,252060.609,539895.1880000001,,30980.1152,104825.25799999999,670960.5,172441.89099999997,340297.562,214293.26599999997,,36732.6406,248279.938,23323.793,207939.70299999998,197.09198,23489.5957,26111.8008,12132.3828,110916.41399999999,155218.969,336840.78099999996,27827.9512,76791.32809999998,20322.3438,,,,
1401792507,15339.692274818823,75637.70458170742,88750.2744039215,171403.84574287492,719360.2366724157,975082.5344773957,9224009.0,,3822534.6103915526,46499.74431152287,1661419.1393856928,1313629.6527034047,709464.4724263807,366664.54970458243,187783.30505281594,12158.87788694612,23608.92841315533,1448748.0755522286,2996775.0127537455,293975.68161117716,232634.3704126416,242306.087470071,150874.72502582124,127137.03154048292,216865.48793775562,45074.2713774756,16815.432973562492,200339.22243479762,99907.4316792509,,264419.8262768375,53590.49583599482,347617.16845531395,342288.68147007097,,48977.28290435567,151067.790488776,,371005.6088908975,,505040.70631783665,252060.63899924085,539928.8065709507,,30980.025105866567,104910.50756726794,670883.7299224135,172440.87528818072,340297.59514345997,214378.89089826323,,36729.17538203267,248279.9677006972,23323.821580388278,208030.52859695227,197.09198,23489.736074766523,26211.97055028606,12137.574040355696,110915.84835163236,155218.9578464289,336964.27451621176,27828.02717825087,76791.35844179585,20321.911937433688,,,,
1401809362,15339.869978383784,75638.14581913929,88750.13487112772,171404.23824996848,719304.0568783002,975082.715885908,9224009.0,,3821260.650587794,46499.997013814645,1661419.3219902762,1313924.54436951,709464.6533543546,366661.2307842473,187769.6297146909,12159.051851442326,23609.1018795977,1448347.0940370713,2996775.13288834,293962.4666588288,232632.24294920004,242306.25339804485,150827.91391395527,127111.64607485519,217085.62595561374,45074.44679391796,16791.792684180942,200310.2275775724,99890.79962148191,,267549.7218067786,53591.49713050207,350586.77810363733,342288.8473980449,,48946.830538854505,150856.99058732527,,370960.84950602346,,505115.818217266,252060.81290775305,540134.0630393339,,30979.474495189876,105431.05922031178,670414.9263119384,172434.66728690657,340297.7616747442,214901.73175410845,,36708.01392670025,248280.14110920942,23323.995996830647,208585.12527582888,197.09198000000004,23490.593138280656,26823.62786760349,12169.271984103696,110912.39766047141,155218.88977913168,337718.34983989864,27828.49014171038,76791.53580823823,20319.275666716665,,,,
1401826216,15340.024853564959,75638.53108743187,88750.01281720624,171404.58000709355,719255.0702058845,975082.8689085122,9224009.0,,3820149.7901962413,46500.21755229178,1661419.4926045835,1314181.706666105,709464.8059279738,366658.3375796649,187757.70766187497,12159.203764496206,23609.25356644237,1447997.4534848428,2996775.245134595,293950.94154765166,232630.38803655843,242306.3999279738,150787.095388134,127089.50953437228,217277.58351785812,45074.59926644237,16771.17906061845,200284.94264277478,99876.29759223101,,270278.92652994103,53592.37039450725,353176.2191483234,342288.99392797385,,48920.276134498825,150673.17659854927,,370921.819115126,,505181.3148994294,252060.9629085122,540313.0379683834,,30978.99428932331,105884.96965304384,670006.133889525,172429.25299872586,340297.90053128416,215357.6378558452,,36689.56119466758,248280.29090851222,23324.14806644237,209068.7216788766,197.09198000000004,23491.340463514134,27356.980567317427,12196.911793748,110909.38930883908,155218.8304327028,338375.8878236869,27828.89366345951,76791.68906644237,20316.977029282978,,,,
1401843071,15340.0312,75638.54690000002,88750.0078,171404.594,719253.0619999999,975082.875,9224009.0,,3820104.25,46500.2266,1661419.5,1314192.25,709464.8119999999,366658.21900000004,187757.219,12159.21,23609.2598,1447983.12,2996775.25,293950.469,232630.312,242306.406,150785.422,127088.602,217285.45299999998,45074.605500000005,16770.334,200283.906,99875.70309999998,,270390.812,53592.4062,353282.375,342289.0,,48919.1875,150665.641,,370920.21900000004,,505184.0,252060.969,540320.375,,30978.9746,105903.578,669989.375,172429.031,340297.90599999996,215376.32799999998,,36688.80470000001,248280.29700000002,23324.1543,209088.54700000002,197.09198000000004,23491.371100000004,27378.8457,12198.0449,110909.266,155218.828,338402.84400000004,27828.9102,76791.6953,20316.8828,,,,
1401859925,15340.0312,75638.54690000002,88750.00779999999,171404.594,719253.0619999999,975082.875,9224009.0,,3820104.25,46500.22660000001,1661419.5,1314192.25,709464.8119999999,366658.21900000004,187757.219,12159.21,23609.2598,1447983.12,2996775.25,293950.46900000004,232630.31199999998,242306.406,150785.42200000002,127088.60199999998,217285.45299999998,45074.605500000005,16770.334,200283.906,99875.70309999998,,270390.812,53592.4062,353282.375,342289.0,,48919.1875,150665.641,,370920.21900000004,,505184.0,252060.969,540320.375,,30978.9746,105903.578,669989.375,172429.031,340297.90599999996,215376.32799999998,,36688.80470000001,248280.29700000002,23324.154300000002,209088.54700000002,197.09198000000004,23491.371100000004,27378.845699999998,12198.0449,110909.266,155218.82799999998,338402.84400000004,27828.9102,76791.69529999999,20316.8828,,,,
1401876780,15340.0312,75638.54690000002,88750.00779999999,171404.59400000004,719253.0619999999,975082.875,9224009.0,,3820104.25,46500.22660000001,1661419.5,1314192.25,709464.8119999999,366658.21900000004,187757.21900000004,12159.21,23609.2598,1447983.12,2996775.25,293950.46900000004,232630.31199999998,242306.40599999996,150785.42200000002,127088.60199999998,217285.45299999998,45074.605500000005,16770.334,200283.90599999996,99875.70309999998,,270390.8119999999,53592.4062,353282.375,342289.0,,48919.1875,150665.641,,370920.21900000004,,505184.0,252060.96900000004,540320.375,,30978.9746,105903.57799999998,669989.375,172429.03099999996,340297.90599999996,215376.32799999998,,36688.80470000001,248280.29700000002,23324.154300000002,209088.54700000002,197.09198,23491.371100000004,27378.845699999998,12198.0449,110909.26600000002,155218.82799999998,338402.84400000004,27828.9102,76791.69529999999,20316.8828,,,,
1401893634,15340.0312,75638.5469,88750.0078,171404.59400000004,719253.0619999999,975082.875,9224009.0,,3820104.25,46500.2266,1661419.5,1314192.25,709464.8119999999,366658.21900000004,187757.21900000004,12159.21,23609.2598,1447983.12,2996775.25,293950.46900000004,232630.312,242306.40599999996,150785.42200000002,127088.60199999998,217285.45299999998,45074.605500000005,16770.334000000003,200283.90599999996,99875.7031,,270390.8119999999,53592.4062,353282.375,342289.0,,48919.1875,150665.64099999997,,370920.21900000004,,505184.0,252060.96900000004,540320.375,,30978.9746,105903.57799999998,669989.375,172429.03099999996,340297.90599999996,215376.32799999998,,36688.8047,248280.29700000002,23324.1543,209088.54700000002,197.09198,23491.3711,27378.8457,12198.044899999999,110909.266,155218.82799999998,338402.84400000004,27828.910200000002,76791.6953,20316.8828,,,,
1401910489,15340.031200000001,75638.5469,88750.0078,171404.594,719253.0619999999,975082.875,9224009.0,,3820104.25,46500.2266,1661419.5,1314192.25,709464.8119999999,366658.21900000004,187757.219,12159.21,23609.2598,1447983.12,2996775.25,293950.46900000004,232630.312,242306.40599999996,150785.42200000002,127088.60199999998,217285.45299999998,45074.605500000005,16770.334000000003,200283.906,99875.7031,,270390.812,53592.4062,353282.375,342289.0,,48919.1875,150665.641,,370920.21900000004,,505184.0,252060.96900000004,540320.375,,30978.9746,105903.578,669989.375,172429.031,340297.90599999996,215376.32799999998,,36688.8047,248280.29700000002,23324.1543,209088.54700000002,197.09198,23491.3711,27378.845699999998,12198.044899999999,110909.266,155218.82799999998,338402.84400000004,27828.910200000002,76791.6953,20316.8828,,,,
1401927344,15340.031200000001,75638.54690000002,88750.00779999999,171404.59399999998,719253.0619999999,975082.875,9224009.0,,3820104.25,46500.2266,1661419.5,1314192.25,709464.8119999999,366658.21900000004,187757.21899999998,12159.21,23609.2598,1447983.12,2996775.25,293950.46900000004,232630.312,242306.40599999996,150785.42200000002,127088.60199999998,217285.45299999998,45074.605500000005,16770.334000000003,200283.90599999996,99875.70309999998,,270390.81200000003,53592.4062,353282.375,342289.0,,48919.1875,150665.641,,370920.21900000004,,505184.0,252060.96900000004,540320.375,,30978.9746,105903.57799999998,669989.375,172429.03100000002,340297.90599999996,215376.32799999998,,36688.80470000001,248280.29700000002,23324.154300000002,209088.54700000002,197.09198,23491.371100000004,27378.845699999998,12198.0449,110909.26600000002,155218.82799999998,338402.84400000004,27828.910200000002,76791.69529999999,20316.8828,,,,
