CSV Dump from EGI accounting portal for the period 8/2014 to 8/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Australia,AU-ATLAS,,,Australia-ATLAS,0,3577436.8699,0,0,3577436.8699
,,34000,17707200,Total,0,3577436.8699,0,0,3577436.8699,20.203289452313
,,,,WallClock,,333038.8634,,,333038.8634
Austria,AT-HEPHY-VIENNA-UIBK,,,HEPHY-UIBK,0,276270.8566,0,0,276270.8566
Austria,AT-HEPHY-VIENNA-UIBK,,,Hephy-Vienna,0,0,654961.0907,0,654961.0907
,,27428,14284502.4,Total,0,276270.8566,654961.0907,0,931231.9473,6.5191766658949
,,,,WallClock,,36157.4978,72821.5136,,108979.0114
Belgium,BE-TIER2,,,BEgrid-ULB-VUB,0,0,1579983.6777,0,1579983.6777
Belgium,BE-TIER2,,,BelGrid-UCL,0,0,1825057.8024,0,1825057.8024
,,67200,34997760,Total,0,0,3405041.4801,0,3405041.4801,9.7293126191505
,,,,WallClock,,,535924.5467,,535924.5467
Brazil,BR-SP-SPRACE,,,SPRACE,0,0,3496368.0000,0,3496368
,,54792,28535673.6,Total,0,0,3496368,0,3496368,12.252621224263
,,,,WallClock,,,357625,,357625
Canada,CA-EAST-T2,,,CA-MCGILL-CLUMEQ-T2,0,6537405.5611,0,0,6537405.5611
Canada,CA-EAST-T2,,,CA-SCINET-T2,0,7750664.5597,0,0,7750664.5597
,,42500,22134000,Total,0,14288070.1208,0,0,14288070.1208,64.552589323213
,,,,WallClock,,848667.0689,,,848667.0689
Canada,CA-WEST-T2,,,CA-VICTORIA-WESTGRID-T2,0,8915190.9002,0,0,8915190.9002
Canada,CA-WEST-T2,,,SFU-LCG2,0,4951012.0000,0,0,4951012
,,42500,22134000,Total,0,13866202.9002,0,0,13866202.9002,62.646620132827
,,,,WallClock,,1085635.7022,,,1085635.7022
China,CN-IHEP,,,BEIJING-LCG2,0,3422885.7416,1254070.1728,0,4676955.9144
,,38400,19998720,Total,0,3422885.7416,1254070.1728,0,4676955.9144,23.386276293683
,,,,WallClock,,290603.2166,226102.6398,,516705.8564
Czech Republic,CZ-Prague-T2,,,praguelcg2,5641444.7461,8511519.2215,0,0,14152963.9676
,,48000,24998400,Total,5641444.7461,8511519.2215,0,0,14152963.9676,56.615479261073
,,,,WallClock,2428085.7967,2225225.4874,,,4653311.2841
Estonia,EE-NICPB,,,T2_Estonia,0,0,3714610.3551,0,3714610.3551
,,180000,93744000,Total,0,0,3714610.3551,0,3714610.3551,3.9625046457373
,,,,WallClock,,,550537.8448,,550537.8448
Finland,FI-HIP-T2,,,FI_HIP_T2,0,0,1757072.0000,0,1757072
,,25200,13124160,Total,0,0,1757072,0,1757072,13.388072074708
,,,,WallClock,,,227191,,227191
France,FR-GRIF,,,GRIF,15466735.4537,11505794.6975,8535663.5226,760747.7370,36268941.4108
,,146248,76165958.4,Total,15466735.4537,11505794.6975,8535663.5226,760747.737,36268941.4108,47.618308983033
,,,,WallClock,1595720.2625,1383852.3007,1196584.8273,94482.0692,4270639.4597
France,FR-IN2P3-CC-T2,,,IN2P3-CC-T2,0,5285132.0000,1092068.0000,0,6377200
,,69400,36143520,Total,0,5285132,1092068,0,6377200,17.644103286011
,,,,WallClock,,539301,153370,,692671
France,FR-IN2P3-CPPM,,,IN2P3-CPPM,0,7610534.1329,0,23943.6461,7634477.779
,,24056,12528364.8,Total,0,7610534.1329,0,23943.6461,7634477.779,60.937543732762
,,,,WallClock,,736793.1879,,2437.4886,739230.6765
France,FR-IN2P3-IPHC,,,IN2P3-IRES,2749675.9816,0,4603984.6673,0,7353660.6489
,,50000,26040000,Total,2749675.9816,0,4603984.6673,0,7353660.6489,28.239864243088
,,,,WallClock,275532.505,,472119.5697,,747652.0747
France,FR-IN2P3-LAPP,,,IN2P3-LAPP,0,7477627.4340,0,95483.6903,7573111.1243
,,48800,25415040,Total,0,7477627.434,0,95483.6903,7573111.1243,29.797754102689
,,,,WallClock,,610600.6244,,8948.8605,619549.4849
France,FR-IN2P3-LPC,,,IN2P3-LPC,3790096.8148,3857595.8769,0,1457581.4511,9105274.1428
,,39080,20352864,Total,3790096.8148,3857595.8769,0,1457581.4511,9105274.1428,44.737065716157
,,,,WallClock,442766.5491,475050.5785,,159148.0252,1076965.1528
France,FR-IN2P3-LPSC,,,IN2P3-LPSC,910011.4395,2582478.5991,0,0,3492490.0386
,,24576,12799180.8,Total,910011.4395,2582478.5991,0,0,3492490.0386,27.286824783349
,,,,WallClock,118197.9884,331673.0525,,,449871.0409
France,FR-IN2P3-SUBATECH,,,IN2P3-SUBATECH,2507401.5972,0,0,0,2507401.5972
,,12000,6249600,Total,2507401.5972,0,0,0,2507401.5972,40.120993298771
,,,,WallClock,287742.343,,,,287742.343
Germany,DE-DESY-ATLAS-T2,,,DESY-HH,0,21151951.7935,0,0,21151951.7935
Germany,DE-DESY-ATLAS-T2,,,DESY-ZN,0,7157689.2475,0,0,7157689.2475
,,62400,32497920,Total,0,28309641.041,0,0,28309641.041,87.112162996893
,,,,WallClock,,3039937.5891,,,3039937.5891
Germany,DE-DESY-GOE-ATLAS-T2,,,GoeGrid,0,4602774.5062,0,0,4602774.5062
,,26000,13540800,Total,0,4602774.5062,0,0,4602774.5062,33.991894911674
,,,,WallClock,,499871.8637,,,499871.8637
Germany,DE-DESY-LHCB,,,DESY-ZN,0,0,0,17841.0853,17841.0853
,,12800,6666240,Total,0,0,0,17841.0853,17841.0853,0.26763340803811
,,,,WallClock,,,,1256.1036,1256.1036
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-HH,0,0,21364115.8215,0,21364115.8215
Germany,DE-DESY-RWTH-CMS-T2,,,DESY-ZN,0,0,0,0,0
Germany,DE-DESY-RWTH-CMS-T2,,,RWTH-Aachen,0,0,8321010.7389,0,8321010.7389
,,121600,63329280,Total,0,0,29685126.5604,0,29685126.5604,46.874252415944
,,,,WallClock,,,4325764.2775,,4325764.2775
Germany,DE-FREIBURGWUPPERTAL,,,UNI-FREIBURG,0,3298392.1601,0,0,3298392.1601
Germany,DE-FREIBURGWUPPERTAL,,,wuppertalprod,0,5586406.9725,0,0,5586406.9725
,,52000,27081600,Total,0,8884799.1326,0,0,8884799.1326,32.807511862667
,,,,WallClock,,958698.3427,,,958698.3427
Germany,DE-GSI,,,GSI-LCG2,0,0,0,0,0
,,28000,14582400,Total,0,0,0,0,0
,,,,WallClock,,,,,
Germany,DE-MCAT,,,LRZ-LMU,0,14124585.7123,0,0,14124585.7123
Germany,DE-MCAT,,,MPPMU,0,9562180.0000,0,0,9562180
,,52000,27081600,Total,0,23686765.7123,0,0,23686765.7123,87.464424968613
,,,,WallClock,,1780346.2312,,,1780346.2312
Greece,GR-GRIDLAB-KAVALA,,,GR-12-TEIKAV,0,0,0,0,0
,,5488,2858150.4,Total,0,0,0,0,0
,,,,WallClock,,,,,
Greece,GR-Ioannina-HEP,,,GR-07-UOI-HEPLAB,0,0,1783.8800,0,1783.88
,,7480,3895584,Total,0,0,1783.88,0,1783.88,0.045792363866368
,,,,WallClock,,,1319.9817,,1319.9817
Hungary,HU-HGCC-T2,,,BUDAPEST,1427059.0656,0,1098010.1598,0,2525069.2254
,,21120,10999296,Total,1427059.0656,0,1098010.1598,0,2525069.2254,22.95664400158
,,,,WallClock,194015.1364,,169622.9196,,363638.056
India,IN-DAE-KOLKATA-TIER2,,,IN-DAE-VECC-02,5156879.0691,0,0,0,5156879.0691
,,24000,12499200,Total,5156879.0691,0,0,0,5156879.0691,41.257673043875
,,,,WallClock,600324.8933,,,,600324.8933
India,IN-INDIACMS-TIFR,,,INDIACMS-TIFR,0,0,871917.8471,0,871917.8471
,,11200,5832960,Total,0,0,871917.8471,0,871917.8471,14.948119772808
,,,,WallClock,,,96424.9745,,96424.9745
Israel,IL-HEPTier-2,,,IL-TAU-HEP,0,2571039.0389,0,0,2571039.0389
Israel,IL-HEPTier-2,,,TECHNION-HEP,0,1853031.7830,0,0,1853031.783
Israel,IL-HEPTier-2,,,WEIZMANN-LCG2,0,2312826.2792,0,0,2312826.2792
,,24800,12915840,Total,0,6736897.1011,0,0,6736897.1011,52.159960955695
,,,,WallClock,,639365.377,,,639365.377
Italy,IT-INFN-T2,,,INFN-BARI,1396021.7008,0,1343743.5780,0,2739765.2788
Italy,IT-INFN-T2,,,INFN-CATANIA,4574463.2750,0,0,662.2675,4575125.5425
Italy,IT-INFN-T2,,,INFN-CNAF-LHCB,0,0,0,1052872.2039,1052872.2039
Italy,IT-INFN-T2,,,INFN-FRASCATI,0.0000,14596499.9164,0,179597.5434,14776097.4598
Italy,IT-INFN-T2,,,INFN-LNL-2,9625860.0000,0,6904948.0000,50860.0000,16581668
Italy,IT-INFN-T2,,,INFN-MILANO-ATLASC,0,9885.4859,0,1.6750,9887.1609
Italy,IT-INFN-T2,,,INFN-NAPOLI-ATLAS,0,16178063.1015,0,51903.0312,16229966.1327
Italy,IT-INFN-T2,,,INFN-PISA,0,0,7649906.5141,157756.7058,7807663.2199
