Time,Aalborg,Altaria,Athens,BITP,BITP_ARC,Bandung,Bari,Bari-Torrent,Birmingham,Bologna,Bratislava,CBPF,CCIN2P3,CCIN2P3-CREAM,CCIN2P31,CCIN2P32,CERN,CERN-AURORA,CERN-CORONA,CERN-CREAM,CERN-CVMFS,CERN-HW6,CERN-L,CERN-LSF,CERN-MIRAGE,CERN-SHA2,CERN-SIRIUS,CERN-TEST,CERN-TRITON,CERN-VM6,CERN-W5,CERN-ZENITH,CERN_HLT,CERN_HLTDEV,CERN_PLANCTON,CNAF,CNAF-CREAM,CNAF-DUE,CNAF_glexec,COMSATS,CSC,Cagliari,Catania,Catania-VF,Cibinong,Clermont,Cloud,CondorCloud,CondorSite,CyberSar,CyberSar-CREAM,Cyfronet,DCSC_KU,Dortmund,FZK,FZK-KIT,FZK_CREAM,FZK_glexec,GRIF_IPNO,GRIF_IRFU,GRIF_IRFU-CVMFS,GRIF_IRFU_ARC,GRIF_IRFU_SHARED,GSI,GSI-CREAM,GSI-SCLAB,GSI-SE2,GSI-SGE,GSI_2,Grenoble,HHLR_GU,HIP,Hiroshima,ICYB,ICYB_ARC,IHEP,IHEP-CREAM,IPNL,ISMA,ISS,ISS_LCG,ITEP,ITEP-CREAM,JINR,JINR-CREAM,KFKI,KISTI-CREAM,KISTI_GSDC,KISTI_GSDC-T1,KNU,KPI,Kolkata,Kolkata-CREAM,Kosice,LBL,LLNL,LUNARC,Legnaro,Legnaro-CREAM,MEPHI,Madrid,NECTEC,NERSC,NIHAM,NIKHEF,NIPNE,NSC,ORNL,ORNL_Titan,OSC,Oxford,PAKGRID,PDC,PLANCTON,PNPI,Poznan,Prague,Prague-CREAM,RAL,RAL-WMS,RAL_ARC,RRC-KI,RRC_KI_T1,SARA,SGE,SINP,SNIC,SPbSU,SPbSU-CC,SPbSU-CREAM,SUT,SaoPaulo,Strasbourg_IRES,Subatech,Subatech_CCIPL,TACC,Talca,Torino,Torino-CREAM,Torino-Torrent,TriGrid,TriGrid_Catania,Trieste,Troitsk,Troitsk-CREAM,Trujillo,Tsukuba,UF,UNAM,UNAM_T1,UPB,UiB,Vienna,WONDERLAND,WUT,Wuhan,Yerevan,ZA_CHPC,_TOTALS_,pcalice92.cern.ch
1425355747,,,484.36899172363695,51.55313031951208,,,7613.969498608915,,6970.616822909253,74.33914220200194,2679.8806204806965,,11338.14999237847,,,,,10068.089506309243,,,0.0,,,,,0.0,,0.0,7077.218663992286,,,7057.320893386929,,,,13130.354962792464,,,,1149.3594181437327,0.0,874.7176517181714,351.7046054323352,,,6531.350204432952,,,,,,2684.7566673056745,,,34061.287626468875,,,,10399.184022340933,34564.86059488294,,2263.287062003729,,,,,,,,2349.2087971489213,,,6941.681397177612,,,6065.546743647067,,5843.36184301484,1228.3689609253004,2047.7322642602162,,311.96791085490145,,4329.618551605506,,4300.940104402875,,14950.838451061534,,,,,5576.8671066357365,448.0031997783503,10021.547601437716,8966.041283680312,,12535.783839866825,,300.6392812747994,55.25183827802511,,0.0,11032.77843202208,5061.607993729429,1752.5029509570059,,,,,661.0386326316063,418.2584592918328,,,687.1105467024742,,9538.92327396692,,182.66773824061534,,22766.42406690745,2009.6471547260674,8667.18152528421,3116.4893797222635,,,1453.743817263191,1209.2135154628616,,,1100.8038668552317,1726.0704722007647,8917.485320943455,545.1444107876964,,,,2831.4336434631905,,,,372.3178010157709,445.6274280634542,364.3491175038909,,602.241024977778,,,29.761112250335685,,,3718.6524645648224,,,,,72.21332329001977,,333964.94309398014,
1425373116,,,1007.1287866851537,99.35902170683217,,,15186.202595012282,,12490.546380207406,148.50251482558588,5266.762868498469,,11865.081863449863,,,,,18735.969168653184,,,0.0,,,,,0.0,,0.0,13134.43011074739,,,12698.035964157469,,,,29304.19851511218,,,,2259.1577068968645,0.0,1436.607658828294,867.0952805047342,,,12937.953051793083,,,,,,5362.472280657224,,,58990.49033412287,,,,20744.265115773378,68301.67560003739,,4263.713441871393,,,,,,,,4825.893496856448,,,12880.737814808552,,,11174.38214904132,,11633.812491909684,2467.6396682083464,4028.776521188247,,685.4614678889639,,8645.447211840059,,7987.1221996097165,,28478.76356199773,,,,,10663.21440662941,943.8237600450395,21722.19365765061,17821.05152567643,,24890.551240044384,,604.719764925271,109.42084160342509,,0.0,21434.05004174191,12899.711381331575,3541.5593471342145,,,,,2275.743173494649,837.1155192576067,,,1345.2105735650644,,50149.99974444288,,350.60139370255644,,40595.177052982996,3624.060095125325,16282.52111455327,6519.198162285261,,,2287.3064781263815,2394.048984342355,,,2190.146456449176,3409.669251180258,17545.428136875424,1085.846006026014,,,,5499.461877393905,,,,731.6302981708969,858.9124141719042,713.0312763080314,,1191.362103917142,,,49.57524755838953,,,7385.831883450068,,,,,145.77413590845265,,668345.5598563406,
1425390484,,,1538.9041834611508,155.38900057926622,,,24232.294524726305,,17929.137103525198,245.493899971129,8270.697360230546,,11865.081863449863,,,,,32063.820750071678,,,0.0,,,,,0.0,,0.0,23162.852165806584,,,21770.547547670783,,,,50122.52693503398,,,,3694.1620532032894,0.0,2023.776553277955,1392.6032897295117,,,20158.43796147227,,,,,,8642.294510279215,,,95186.2166466307,,,,32983.4307809646,108837.35885453237,,6713.822323242693,,,,,,,,7986.763818015364,,,21112.330546068628,,,17448.389411284235,,18749.25212163234,4010.120942869385,6415.325687992156,,1323.8880748385752,,14104.18494964756,,12042.955926627757,,46233.560318127515,,,,,16968.102693502293,1576.5695313606752,36055.51653963581,29102.459450125538,,39212.015166490695,,993.0820157529372,166.23527846187534,,0.0,34449.9485450522,25384.434932891447,5848.026918811761,,,,,4959.451008777347,1382.7339927587636,,,2215.1311193713545,137.059392306401,96959.3639508246,,536.972162810543,,57457.04257589763,5705.892812307029,23718.530671143675,11399.494884800346,,,3768.89147879155,3919.8074159504554,,,3569.7393823657176,5266.42114791618,28264.190017497614,1677.340732764209,,,,8938.565939245249,,,,1184.5243087731706,1332.037149809352,1103.2655274590584,,1936.08911542604,,,74.0282439826003,,,12128.833294357293,,,,,,,1083268.7182441212,
1425407853,,,1920.008553336146,201.65775975933144,,,33515.36470326636,,21967.96150249805,341.7060172986649,11150.93175850743,,11865.081863449863,,,,,47484.78164917547,,,0.0,,,,,0.0,,0.0,35682.81227683061,,,32995.89608660622,,,,68847.53044359863,,,,5166.189767897739,0.0,2724.6215658785595,1831.628897730657,,,27585.187311014364,,,,,,11934.560000966114,,,130248.78088839508,,,,45465.76557542253,150476.62540678165,,9443.042022332735,,,,,,,,11142.049265411084,,,30197.957655073536,,,27235.178171446034,,25799.51083362692,5599.146231888622,8792.104156217085,,1971.2929542237143,,18935.282021687115,,15958.068892145584,,65264.15492488326,,,,,23335.71959548615,2131.422199473073,49248.27155742415,40335.620142835265,,50768.07280460475,,1381.3315944863134,205.39112862609468,,0.0,47881.18012593867,40059.43202335783,8155.617212148063,,,,,7992.984330007741,1931.2879113056065,,,3125.9759476685895,369.9578268055034,106182.19707282465,,662.4240789799923,,65180.58038305972,7195.421849783798,31045.865901336598,17441.514181113864,,,6263.008443443119,5419.571791490459,,,4938.927989695395,6999.125139745328,39305.56195016222,2146.686767197098,,,,12083.829726826505,,,,1618.6017530002337,1776.483242208518,1438.8545316667607,,2727.7755383050117,,,94.07767323787007,,,16973.446277072628,,,,,,,1461343.3782062614,
1425425222,,,2215.1698494248117,246.1434968815477,,,43097.759443421615,,26183.355718422463,437.4444873269032,14476.125874577265,,11865.081863449863,,,,,61712.476852495056,,,0.0,,,,,0.0,,0.0,47458.86752620681,,,43949.13353898893,,,,84900.90970434874,,,,6650.167126363963,0.0,3583.7452655459642,2192.147742855551,,,36129.57832708075,,,,,,15227.883653363288,,,157307.04252631392,,,,58028.92939903748,197138.12894824118,,12486.578495701697,,,,,,,,14195.567203261773,,,39416.06119804507,,,43735.91547474578,,32759.518991821584,7235.861633594748,11137.50782965402,,2592.786231783342,,22795.751889916402,,20607.745308846464,,84734.12901157301,,,,,30411.800272671175,2594.372965430191,60545.334074964674,51908.66026587178,,62708.61007615658,,1772.8423178352225,228.10487800986175,,0.0,61337.84047958488,54179.778310062145,10475.077510613575,,,,,11102.951633752333,2486.8016333652517,,,4051.880304571178,627.4118850671875,106509.33825238158,,737.7057012992462,,67113.98567156172,7953.485021818317,40497.646680876795,24429.457440671133,,,9642.191016075772,6940.405230177921,,,6318.356722026651,8984.263746758694,50479.58046920354,2567.8513818574143,,,,14654.904767754473,,,,2041.1491969618098,2290.803001782784,1816.2613102776256,,3593.750920451689,,,102.52121035390417,,,21772.594956004206,,,,,208.358738542316,,1828567.7536834376,
1425442591,,,2401.160484558823,305.24579338108214,,,52058.78956153329,,31899.992536531678,533.1948309624295,17955.02344678716,,11865.081863449863,,,,,75294.11143743026,,,0.0,,,,,0.0,,0.0,57895.47224109863,,,52129.127727204585,,,,102867.18177993485,,,,8138.078129663418,0.0,4468.807459052431,2464.072754570015,,,44964.34565556848,,,,,,18527.066591582512,,,186329.2798753008,,,,69551.17834764795,244696.6466349304,,15244.828563788946,,,,,,,,17099.109817163207,,,48632.05248361292,,,64196.496401354554,,39723.82947480011,8868.270861480236,13491.455607211454,,3517.5491416102927,,27010.814787036656,,26117.83860434474,,104094.44931883711,,,,,38255.88102839557,3166.751672524929,73265.42300285645,63601.56831374153,,79028.49245170153,,2165.237687574147,272.6725698145783,,0.0,74883.21467503905,71458.1464762596,12796.112817627627,,,,,14031.69277332695,3039.1726349467544,,,4971.800683417064,825.1879571929076,107619.88769502727,,814.813396772247,,68276.53769680698,9165.573632930533,50921.87514150333,31515.6024785613,,,12537.780703142847,8497.001832808597,,,7695.2854696390405,11127.08165618967,61308.30200767222,3074.5341456897922,,,,17513.705169219353,,,,2478.897534222273,2863.459044073197,2254.8309148392214,,4472.829227469301,,,103.92907079459555,,,26515.00202938473,,,,,,,2214359.204754186,
1425459960,,,2488.094415435653,365.9864513694338,,,60145.80718124438,,37948.44013721518,615.5904362832192,20444.72473072074,,11865.081863449863,,,,,89050.27553683014,,,0.0,,,,,0.0,,0.0,66978.4803123304,,,59028.231778305366,,,,118505.64384670557,,,,9411.475840399615,0.0,5191.688380477593,2940.8657315807486,,,52675.76706740219,,,,,,21045.448944064272,,,211957.53174086957,,,,80140.17180840808,304008.65889260697,,17870.31480035158,,,,,,,,19774.95312120347,,,56157.088746943016,,,81475.39654846073,,45651.52590110081,10140.13710799139,15441.3711596222,,4423.127909980028,,30957.370907384302,,30774.208825637576,,120049.49442100745,,,,,44683.6795887912,3751.071728012239,86311.77008115799,73528.20320217262,,94467.06190198095,,2459.576602421468,346.6531330686258,,0.0,85172.26621010299,89017.7368149072,14699.1453412868,,,,,16057.389269712936,3504.645462368056,,,5722.010876500572,1246.0388596978205,109877.07976816094,,901.1218055569684,,69759.66129053893,10601.599949620053,59853.070420520526,36885.602710055326,,,14206.27126958567,9842.99335535932,,,8855.338103782276,12913.32647257546,70332.21710113855,3623.8902221561493,,,,20400.235844823572,,,,2858.39153697549,3363.060099661103,2650.5319640313774,,5206.074899008446,,,103.92907079459555,,,30519.96559597844,,,,,,,2558571.8941253074,
1425477329,,,2534.2654875747867,428.35260412042044,,,68907.8833763107,,44682.85735581887,699.0979251365878,21935.258348117346,,11865.081863449863,,,,,104040.67613744283,,,0.0,,,,,0.0,,0.0,76407.88586160146,,,68418.58706666714,,,,129200.77213960825,,,,10699.558821465982,0.0,5747.396971640927,4388.358406485748,,,59995.778530630494,,,,,,22781.669507269155,,,227262.71448545277,,,,91713.67440882813,399518.56177673204,,20660.97468604583,,,,,,,,22771.05472516296,,,63038.60485297044,,,94866.04512168127,,51031.346107985024,11035.57544523397,16896.351513611346,,5001.684627831004,,34133.78765205667,,34098.469005830484,,135770.74597240787,,,,,49850.83134827837,4147.992253017779,98565.03287514255,82753.48452776068,,109212.92694964456,,2644.729196548921,410.41953479111834,,0.0,92334.60188800366,104153.07881733557,16458.27905457538,,,,,17531.763976174054,3965.5417651800562,,,6279.979265826212,1969.0227375702166,112655.7638668253,,997.5123702479461,,72626.39857497984,11873.344363359365,68763.70813090724,40603.39630703509,,,15424.367427036092,11161.554035848549,,,10025.815709078895,14519.848549493809,79535.29004634664,4263.611611722736,,,,23262.637761742517,,,,3249.242668413657,3864.707487882703,2972.415279633716,,5926.197707394918,,,103.92907079459555,,,34469.117541598476,,,,,,,2908628.0633138884,
1425494697,,,2601.7407379410124,495.24530728411247,,,78545.36236292095,,52152.26494610735,795.931139325973,22941.045590499416,,11865.081863449863,,,,,120082.14141824305,,,0.0,,,,,0.0,,0.0,87639.81461193357,,,79649.46225332221,,,,139826.63252115672,,,,12206.597475585857,0.0,6321.74943757256,6908.512926261479,,,68127.26973982675,,,,,,24016.160586010123,,,239088.3433290188,,,,104528.20311386527,481333.9135262857,,23119.55751729468,,,,,,,,25991.149346971702,,,70773.95094886758,,,102486.68761726562,,57051.900209042826,11795.664680975653,18114.0057292547,,5418.04825511787,,36959.239080378116,,36494.32718793447,,153824.33552218534,,,,,55862.446237583776,4410.499977489761,110458.16330176617,91807.97504490419,,124341.687539097,,2769.8318094165,502.02629777866616,,0.0,98929.12478669832,121275.48274816752,18241.308687494082,,,,,19123.2746051329,4514.584565518098,,,6642.8204876458485,3322.609199287793,115405.07106852689,,1128.5234398945095,,78483.8272741479,13484.719848994857,79230.44918319027,44953.53479118177,,,16168.585058825693,12675.263359768333,,,11425.336800560652,16385.949179773965,90194.50567313576,5072.617169367465,,,,26611.93367276097,,,,3727.7347922382983,4462.08048818186,3185.6986328048806,,6769.102201388706,,,103.92907079459555,,,39036.95024528943,,,,,,,3271602.836790254,
1425512066,,,2816.8329860349045,543.5314131161259,,,88261.98287985213,,59322.36407650057,892.022501325401,24443.44570864538,,11934.492153274892,,,,,136101.3030749305,,,0.0,,,,,0.0,,0.0,100053.47616514296,,,92005.7036894974,,,,151354.7725399021,,,,13711.966836123425,0.0,6847.22375646074,10522.155348012919,,,76524.66803594904,,,,,,25561.135284995933,,,266837.95868374186,,,,117806.97950224586,528224.1933959774,,24771.904009633752,,,,,,,,28879.441017663263,,,78545.34636439732,,,105003.67829808239,,63939.625954998526,12566.279237326939,19654.680493549018,,5716.920006258217,,40277.810514216544,,38719.50738994892,,172044.77266955812,,,,,62811.964596245656,4600.040269493885,122841.65866563651,99116.08387361487,,136638.5689279877,,2936.2062654171805,665.1524327815027,,0.0,103658.11797469048,141921.49792480707,19964.240146537013,,,,,20337.75539575671,5070.922170895743,,,7005.565711474673,6347.061041864871,119134.672933871,,1275.4003059258348,,89921.11890136333,16288.330351963154,89805.53415413994,51312.88243332139,,,16895.00794282761,14170.226371941671,,,12829.052659320274,18427.201790460505,100818.48088612796,5848.291111194621,,,,30083.719053875662,,,,4206.256232297176,5059.214370147238,3300.417969782954,,7618.406012836429,,,103.92907079459555,,,43726.449137619464,,,,,,,3628419.554118096,
