TIER1,"alice","atlas","cms","lhcb",Total
CA-TRIUMF, 0, 42431005.5306, 0, 0, 42431006, 3.05%
CH-CERN, 150788286.9415, 141945444.5933, 46009821.1617, 31836923.2858, 370580476, 26.64%
DE-KIT, 21915808.5421, 53118003.4245, 18370793.2364, 22828462.0250, 116233067, 8.35%
ES-PIC, 0, 17531838.2167, 10503632.5748, 7328343.5592, 35363814, 2.54%
FR-CCIN2P3, 13487742.9774, 51096415.5469, 13410523.7119, 16459809.8324, 94454492, 6.79%
IT-INFN-CNAF, 25470609.3324, 25555587.2376, 23496706.5314, 27517417.1011, 102040320, 7.33%
KR-KISTI-GSDC, 22128431.4593, 0, 0, 0, 22128431, 1.59%
NDGF, 8296332.2736, 24872689.8653, 0, 0, 33169022, 2.38%
NL-T1, 27714829.1024, 61910646.9453, 0, 23682263.9782, 113307740, 8.14%
NRC-KI-T1, 24266203.0594, 27152420.2395, 0, 13276911.7168, 64695535, 4.65%
RU-JINR-T1, 0, 0, 15579055.1316, 0, 15579055, 1.12%
TW-ASGC, 0, 17162539.0244, 0, 0, 17162539, 1.23%
UK-T1-RAL, 5782593.4119, 73576202.3228, 18949244.4759, 39438720.8208, 137746761, 9.90%
US-FNAL-CMS, 0, 343340.8517, 115752379.3769, 0, 116095720, 8.35%
US-T1-BNL, 0, 110206349.5361, 136.2444, 0, 110206486, 7.92%
Total, 299850837, 646902483, 262072292, 182368852, 1391194465,
Percent, 21.55%, 46.50%, 18.84%, 13.11%, ,
