Tier,Country,Federation,PledgeType,PledgeUnit,ALICE,ATLAS,CMS,LHCb
Tier 0,Switzerland,CH-CERN,CPU,HEP-SPEC06,292000,300000,378000,61000
Tier 0,Switzerland,CH-CERN,Disk,Tbytes,22400,20000,17800,8700
Tier 0,Switzerland,CH-CERN,Tape,Tbytes,36900,77000,70500,25200
Tier 1,Canada,CA-TRIUMF,CPU,HEP-SPEC06,,92100,,
Tier 1,Canada,CA-TRIUMF,Disk,Tbytes,,6800,,
Tier 1,Canada,CA-TRIUMF,Tape,Tbytes,,18800,,
Tier 1,France,FR-CCIN2P3,CPU,HEP-SPEC06,30200,87500,35400,23000
Tier 1,France,FR-CCIN2P3,Disk,Tbytes,2980,7100,3600,2800
Tier 1,France,FR-CCIN2P3,Tape,Tbytes,3600,17800,11000,6200
Tier 1,Germany,DE-KIT,CPU,HEP-SPEC06,60500,97200,56500,33000
Tier 1,Germany,DE-KIT,Disk,Tbytes,6350,8500,5140,3390
Tier 1,Germany,DE-KIT,Tape,Tbytes,7600,22090,19500,7220
Tier 1,Italy,IT-INFN-CNAF,CPU,HEP-SPEC06,38295,61380,66000,35910
Tier 1,Italy,IT-INFN-CNAF,Disk,Tbytes,4477,5130,5880,4085
Tier 1,Italy,IT-INFN-CNAF,Tape,Tbytes,10815,16920,21000,8227
Tier 1,Netherlands,NL-T1,CPU,HEP-SPEC06,7536,54912,,20498
Tier 1,Netherlands,NL-T1,Disk,Tbytes,966,4756,,2005
Tier 1,Netherlands,NL-T1,Tape,Tbytes,718,11739,,3471
Tier 1,Nordic,NDGF,CPU,HEP-SPEC06,25310,41240,,
Tier 1,Nordic,NDGF,Disk,Tbytes,2510,4000,,
Tier 1,Nordic,NDGF,Tape,Tbytes,1320,9090,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,CPU,HEP-SPEC06,36000,,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,Disk,Tbytes,1500,,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,Tape,Tbytes,3000,,,
Tier 1,Russian Federation,NRC-KI-T1,CPU,HEP-SPEC06,32800,32800,,16400
Tier 1,Russian Federation,NRC-KI-T1,Disk,Tbytes,2520,2520,,1260
Tier 1,Russian Federation,NRC-KI-T1,Tape,Tbytes,2960,2960,,1480
Tier 1,Russian Federation,RU-JINR-T1,CPU,HEP-SPEC06,,,63000,
Tier 1,Russian Federation,RU-JINR-T1,Disk,Tbytes,,,3900,
Tier 1,Russian Federation,RU-JINR-T1,Tape,Tbytes,,,8000,
Tier 1,Spain,ES-PIC,CPU,HEP-SPEC06,,34782,28050,12285
Tier 1,Spain,ES-PIC,Disk,Tbytes,,2907,2499,1151
Tier 1,Spain,ES-PIC,Tape,Tbytes,,8823,6885,2522
Tier 1,Taiwan,TW-ASGC,CPU,HEP-SPEC06,,40524,,
Tier 1,Taiwan,TW-ASGC,Disk,Tbytes,,4400,,
Tier 1,Taiwan,TW-ASGC,Tape,Tbytes,,0,,
Tier 1,UK,UK-T1-RAL,CPU,HEP-SPEC06,4840,103175,46400,58020
Tier 1,UK,UK-T1-RAL,Disk,Tbytes,505,7950,4304,6162
Tier 1,UK,UK-T1-RAL,Tape,Tbytes,598,22750,12720,12870
Tier 1,USA,US-FNAL-CMS,CPU,HEP-SPEC06,,,220000,
Tier 1,USA,US-FNAL-CMS,Disk,Tbytes,,,19600,
Tier 1,USA,US-FNAL-CMS,Tape,Tbytes,,,54000,
Tier 1,USA,US-T1-BNL,CPU,HEP-SPEC06,,162000,,
Tier 1,USA,US-T1-BNL,Disk,Tbytes,,14500,,
Tier 1,USA,US-T1-BNL,Tape,Tbytes,,44000,,
Tier 2,Australia,University of Melbourne,CPU,HEP-SPEC06,,17765,,
Tier 2,Australia,University of Melbourne,Disk,Tbytes,,1311,,
Tier 2,Austria,Austrian Tier-2 Federation,CPU,HEP-SPEC06,,1857,10000,
Tier 2,Austria,Austrian Tier-2 Federation,Disk,Tbytes,,120,500,
Tier 2,Belgium,Belgian Tier-2 Federation,CPU,HEP-SPEC06,,,39000,
Tier 2,Belgium,Belgian Tier-2 Federation,Disk,Tbytes,,,4300,
Tier 2,Brazil,"SPRACE, Sao Paulo",CPU,HEP-SPEC06,,,25200,
Tier 2,Brazil,"SPRACE, Sao Paulo",Disk,Tbytes,,,1450,
Tier 2,Canada,Canada-East Federation,CPU,HEP-SPEC06,,28150,,
Tier 2,Canada,Canada-East Federation,Disk,Tbytes,,2100,,
Tier 2,Canada,Canada-West Federation,CPU,HEP-SPEC06,,28150,,
Tier 2,Canada,Canada-West Federation,Disk,Tbytes,,2100,,
Tier 2,China,"IHEP, Beijing",CPU,HEP-SPEC06,,5780,5780,
Tier 2,China,"IHEP, Beijing",Disk,Tbytes,,400,540,
Tier 2,Czech Republic,"FZU AS, Prague",CPU,HEP-SPEC06,5000,15000,,
Tier 2,Czech Republic,"FZU AS, Prague",Disk,Tbytes,1400,1800,,
Tier 2,Estonia,"NICPB, Tallinn",CPU,HEP-SPEC06,,,51000,
Tier 2,Estonia,"NICPB, Tallinn",Disk,Tbytes,,,1200,
Tier 2,Finland,NDGF/HIP Tier2,CPU,HEP-SPEC06,,,8000,
Tier 2,Finland,NDGF/HIP Tier2,Disk,Tbytes,,,1045,
Tier 2,France,CC-IN2P3 AF,CPU,HEP-SPEC06,,,7730,
Tier 2,France,CC-IN2P3 AF,Disk,Tbytes,,,510,
Tier 2,France,"CPPM, Marseille",CPU,HEP-SPEC06,,8000,,4000
Tier 2,France,"CPPM, Marseille",Disk,Tbytes,,900,,300
Tier 2,France,"GRIF, Paris",CPU,HEP-SPEC06,14672,39998,24175,8665
Tier 2,France,"GRIF, Paris",Disk,Tbytes,948,2655,1666,300
Tier 2,France,"IPHC, Strasbourg",CPU,HEP-SPEC06,4000,,16500,
Tier 2,France,"IPHC, Strasbourg",Disk,Tbytes,200,,1200,
Tier 2,France,"LAPP, Annecy",CPU,HEP-SPEC06,,14500,,5500
Tier 2,France,"LAPP, Annecy",Disk,Tbytes,,1600,,2
Tier 2,France,"LPC, Clermont-Ferrand",CPU,HEP-SPEC06,5000,11000,,2200
Tier 2,France,"LPC, Clermont-Ferrand",Disk,Tbytes,300,1200,,2
Tier 2,France,LPSC Grenoble,CPU,HEP-SPEC06,3422,10099,,
Tier 2,France,LPSC Grenoble,Disk,Tbytes,342,828,,
Tier 2,France,"SUBATECH, Nantes",CPU,HEP-SPEC06,4500,,,
Tier 2,France,"SUBATECH, Nantes",Disk,Tbytes,1500,,,
Tier 2,Germany,ATLAS Federation DESY,CPU,HEP-SPEC06,,37500,,
Tier 2,Germany,ATLAS Federation DESY,Disk,Tbytes,,2750,,
Tier 2,Germany,ATLAS Federation FR/W,CPU,HEP-SPEC06,,37500,,
Tier 2,Germany,ATLAS Federation FR/W,Disk,Tbytes,,2766,,
Tier 2,Germany,"ATLAS Federation, HH/Goe",CPU,HEP-SPEC06,,18750,,
Tier 2,Germany,"ATLAS Federation, HH/Goe",Disk,Tbytes,,1380,,
Tier 2,Germany,"ATLAS Federation, Munich",CPU,HEP-SPEC06,,37500,,
Tier 2,Germany,"ATLAS Federation, Munich",Disk,Tbytes,,2766,,
Tier 2,Germany,CMS Federation DESY RWTH Aachen,CPU,HEP-SPEC06,,,63750,
