Funding Agency;Storage Element;Computing Element  ML;Computing element WLCG
AM;Armenia;;Yerevan;
AT;Austria;;Vienna;
BR;Brazil;;CBPF;Latin America Federation
BR;Brazil;ALICE::SaoPaulo::SE;SaoPaulo;Latin America Federation
CH;CERN;ALICE::CERN::CASTOR2;CERN-AURORA;CH-CERN
CH;CERN;ALICE::CERN::DPM;CERN-CORONA;CH-CERN
CH;CERN;ALICE::CERN::EOS;CERN-MIRAGE;CH-CERN
CH;CERN;ALICE::CERN::OCDB;CERN-SIRIUS;CH-CERN
CH;CERN;ALICE::CERN::T0ALICE;CERN-TRITON;CH-CERN
CH;CERN;;CERN-ZENITH;CH-CERN
CH;CERN;;CERN-LSF;CH-CERN
CH;CERN;;CERN-DUE;CH-CERN
CH;CERN;;CERN-HLT;CH-CERN
CH;CERN;;CERN_HLT;CH-CERN
CH;CERN;;CERN_HLTDEV;CH-CERN
CH;CERN;;CERN_PLANCTON;CH-CERN
CH;CERN;;PLANCTON;CH-CERN
CH;CERN;;CERN-W5;CH-CERN
CH;CERN;;CERN-HW6;CH-CERN
CH;CERN;;CERN-VM5;CH-CERN
CH;CERN;;CERN-VM6;CH-CERN
CH;CERN;;CERN-SGE;CH-CERN
CH;CERN;;CERN-L;CH-CERN
CH;CERN;;CERN-SHA2;CH-CERN
CH;CERN;;CERN-CREAM;CH-CERN
CH;CERN;;CERN-CVMFS;CH-CERN
CH;CERN;;CERN;CH-CERN
CH;CERN;;Altaria;CH-CERN
CH;CERN;;CERN-TEST;CH-CERN
CH;CERN;;pcalice92.cern.ch;CH-CERN
CN;China-CMoE;;Wuhan;
CZ;Czech Republic;ALICE::Prague::SE;Prague;FZU AS
CZ;Czech Republic;;Prague-CREAM;FZU AS
FR;France;ALICE::CCIN2P3::SE;CCIN2P3;FR-CCIN2P3
FR;France;ALICE::CCIN2P3::TAPE;;FR-CCIN2P3
FR;France;;CCIN2P31;FR-CCIN2P3
FR;France;;CCIN2P32;FR-CCIN2P3
FR;France;;CCIN2P3-CREAM;FR-CCIN2P3
FR;France;ALICE::Clermont::SE;Clermont;LPC
FR;France;ALICE::GRIF_IPNO::SE;GRIF_IPNO;GRIF
FR;France;ALICE::GRIF_IRFU::DPM;GRIF_IRFU;GRIF
FR;France;;GRIF_IRFU_SHARED;GRIF
FR;France;;GRIF_IRFU-CVMFS;GRIF
FR;France;;GRIF_IRFU_ARC;GRIF
FR;France;ALICE::Grenoble::SE;Grenoble;LPSC Grenoble
FR;France;ALICE::IPNL::SE;IPNL;
FR;France;ALICE::Strasbourg_IRES::SE;Strasbourg_IRES;IPHC
FR;France;ALICE::Subatech::EOS;Subatech;SUBATECH
FR;France;;Subatech_CCIPL;SUBATECH
DE;Germany;ALICE::FZK::SE;FZK-KIT;DE-KIT
DE;Germany;ALICE::FZK::TAPE;FZK;DE-KIT
DE;Germany;ALICE::GSI::SE2;GSI;GSI
DE;Germany;;GSI-SCLAB;GSI
DE;Germany;;GSI;GSI
DE;Germany;;GSI_2;GSI
DE;Germany;;GSI-SE2;GSI
DE;Germany;;SGE;GSI
DE;Germany;;GSI-SGE;GSI
DE;Germany;;GSI-CREAM;GSI
